"Project","Folder","File","Num of Files","Wordcount","Num of Dlg","Untranslated","Need Review","Approved","Failed","Do not translate","ICE match","100% match","Fuzzy match",
,"\lcn","suseplugger.pl.po",101,0,0,0,101,0,0,0,0,0,101,
,"\lcn","susetranslations.pl.po",1664,0,0,0,1664,0,0,0,0,0,1664,
,"\lcn","tomboy.pl.po",1521,0,0,0,1521,0,0,0,0,0,1521,
,"\lcn","update-desktop-files.pl.po",19454,0,0,0,19454,0,0,0,0,0,19454,
,"\lcn","vmx-manager.pl.po",447,0,0,0,447,0,0,0,0,0,447,
,"\lcn","xen-vm-install.pl.po",1112,0,0,0,1112,0,0,0,0,0,1112,
,"\lcn","xgl-settings.pl.po",878,0,0,0,878,0,0,0,0,0,878,
,"\lcn","ximian-artwork.pl.po",44,0,0,0,44,0,0,0,0,0,44,
,"\lcn","zen-updater.pl.po",890,0,0,0,890,0,0,0,0,0,890,
,"\lcn","zmd.pl.po",924,0,0,0,924,0,0,0,0,0,924,
,"\lcn","zypp.pl.po",2048,0,0,0,2048,0,0,0,0,0,2048,
,"\lcn","zypper.pl.po",1249,0,0,0,1249,0,0,0,0,0,1249,
,"\yast",90,,137282,0,0,0,137282,0,0,0,0,0,137282
,"\yast","add-on-creator.pl.po",2511,0,0,0,2511,0,0,0,0,0,2511,
,"\yast","autoinst.pl.po",2726,0,0,0,2726,0,0,0,0,0,2726,
,"\yast","backup.pl.po",2071,0,0,0,2071,0,0,0,0,0,2071,
,"\yast","base.pl.po",2453,0,0,0,2453,0,0,0,0,0,2453,
,"\yast","bluetooth.pl.po",734,0,0,0,734,0,0,0,0,0,734,
,"\yast","bootloader.pl.po",3913,0,0,0,3913,0,0,0,0,0,3913,
,"\yast","ca-management.pl.po",2679,0,0,0,2679,0,0,0,0,0,2679,
,"\yast","CASA.pl.po",374,0,0,0,374,0,0,0,0,0,374,
,"\yast","cd-creator.pl.po",904,0,0,0,904,0,0,0,0,0,904,
,"\yast","certify.pl.po",1000,0,0,0,1000,0,0,0,0,0,1000,
,"\yast","control.pl.po",180,0,0,0,180,0,0,0,0,0,180,
,"\yast","control-center.pl.po",198,0,0,0,198,0,0,0,0,0,198,
,"\yast","country.pl.po",1199,0,0,0,1199,0,0,0,0,0,1199,
,"\yast","dhcp-server.pl.po",3673,0,0,0,3673,0,0,0,0,0,3673,
,"\yast","dns-server.pl.po",4016,0,0,0,4016,0,0,0,0,0,4016,
,"\yast","firewall.pl.po",1863,0,0,0,1863,0,0,0,0,0,1863,
,"\yast","firstboot.pl.po",270,0,0,0,270,0,0,0,0,0,270,
,"\yast","heartbeat.pl.po",1636,0,0,0,1636,0,0,0,0,0,1636,
,"\yast","http-server.pl.po",2596,0,0,0,2596,0,0,0,0,0,2596,
,"\yast","inetd.pl.po",922,0,0,0,922,0,0,0,0,0,922,
,"\yast","installation.pl.po",2135,0,0,0,2135,0,0,0,0,0,2135,
,"\yast","instserver.pl.po",1030,0,0,0,1030,0,0,0,0,0,1030,
,"\yast","ipsec.pl.po",1990,0,0,0,1990,0,0,0,0,0,1990,
,"\yast","irda.pl.po",176,0,0,0,176,0,0,0,0,0,176,
,"\yast","iscsi-client.pl.po",700,0,0,0,700,0,0,0,0,0,700,
,"\yast","iscsi-server.pl.po",680,0,0,0,680,0,0,0,0,0,680,
,"\yast","isns.pl.po",604,0,0,0,604,0,0,0,0,0,604,
,"\yast","iso-countries.pl.po",356,0,0,0,356,0,0,0,0,0,356,
,"\yast","iso-languages.pl.po",616,0,0,0,616,0,0,0,0,0,616,
,"\yast","kdump.pl.po",1510,0,0,0,1510,0,0,0,0,0,1510,
,"\yast","kerberos.pl.po",576,0,0,0,576,0,0,0,0,0,576,
,"\yast","kernel-update-tool.pl.po",12,0,0,0,12,0,0,0,0,0,12,
,"\yast","languages_db.pl.po",53,0,0,0,53,0,0,0,0,0,53,
,"\yast","ldap-client.pl.po",2119,0,0,0,2119,0,0,0,0,0,2119,
,"\yast","ldap-server.pl.po",1669,0,0,0,1669,0,0,0,0,0,1669,
,"\yast","linux-user-mgmt.pl.po",1048,0,0,0,1048,0,0,0,0,0,1048,
,"\yast","mail.pl.po",946,0,0,0,946,0,0,0,0,0,946,
,"\yast","MailServer.pl.po",1406,0,0,0,1406,0,0,0,0,0,1406,
,"\yast","mouse.pl.po",209,0,0,0,209,0,0,0,0,0,209,
,"\yast","network.pl.po",9354,0,0,0,9354,0,0,0,0,0,9354,
,"\yast","nfs.pl.po",361,0,0,0,361,0,0,0,0,0,361,
,"\yast","nfs_server.pl.po",666,0,0,0,666,0,0,0,0,0,666,
,"\yast","nis.pl.po",596,0,0,0,596,0,0,0,0,0,596,
,"\yast","nis_server.pl.po",1002,0,0,0,1002,0,0,0,0,0,1002,
,"\yast","ntp-client.pl.po",1767,0,0,0,1767,0,0,0,0,0,1767,
,"\yast","online-update.pl.po",792,0,0,0,792,0,0,0,0,0,792,
,"\yast","packagemanager.pl.po",698,0,0,0,698,0,0,0,0,0,698,
,"\yast","packager.pl.po",3467,0,0,0,3467,0,0,0,0,0,3467,
,"\yast","packages.pl.po",1694,0,0,0,1694,0,0,0,0,0,1694,
,"\yast","packages-qt.pl.po",1742,0,0,0,1742,0,0,0,0,0,1742,
,"\yast","pam.pl.po",11,0,0,0,11,0,0,0,0,0,11,
,"\yast","phone-services.pl.po",527,0,0,0,527,0,0,0,0,0,527,
,"\yast","pkg-bindings.pl.po",6,0,0,0,6,0,0,0,0,0,6,
,"\yast","power-management.pl.po",1655,0,0,0,1655,0,0,0,0,0,1655,
,"\yast","printer.pl.po",6148,0,0,0,6148,0,0,0,0,0,6148,
,"\yast","product-creator.pl.po",2424,0,0,0,2424,0,0,0,0,0,2424,
,"\yast","profile-manager.pl.po",991,0,0,0,991,0,0,0,0,0,991,
,"\yast","qt-packages.pl.po",1,0,0,0,1,0,0,0,0,0,1,
,"\yast","registration.pl.po",668,0,0,0,668,0,0,0,0,0,668,
,"\yast","repair.pl.po",6144,0,0,0,6144,0,0,0,0,0,6144,
,"\yast","restore.pl.po",1190,0,0,0,1190,0,0,0,0,0,1190,
,"\yast","rpm-groups.pl.po",202,0,0,0,202,0,0,0,0,0,202,
,"\yast","runlevel.pl.po",1061,0,0,0,1061,0,0,0,0,0,1061,
,"\yast","s390.pl.po",956,0,0,0,956,0,0,0,0,0,956,
,"\yast","samba-client.pl.po",1017,0,0,0,1017,0,0,0,0,0,1017,
,"\yast","samba-server.pl.po",2269,0,0,0,2269,0,0,0,0,0,2269,
